pressure in bar,inlet temperature in K,temperature in K,residence time in s,portion of product in feed,conversion CO2
4.87315,765.964,799.38477,0.13621,0.01419,0.77117
6.61393,768.98,777.65532,0.35209,0.42543,0.62063
1.92475,603.596,637.85452,0.15163,0.01311,0.72793
1.10899,617.788,630.81962,0.29141,0.20416,0.74608
2.71495,664.636,674.13566,0.31155,0.21124,0.818
8.89651,488.156,494.06157,0.17935,0.38674,0.08694
2.15137,529.58,544.84638,0.12318,0.42165,0.20017
1.90423,452.076,452.59709,0.11728,0.45492,0.00569
1.93537,534.516,550.07025,0.34774,0.15968,0.43611
9.18307,762.812,783.74954,0.13404,0.39454,0.66689
6.80239,455.132,456.37019,0.24505,0.27918,0.01801
5.49685,520.772,540.84401,0.2354,0.18995,0.37207
3.41389,540.468,555.25967,0.24016,0.36588,0.44817
8.96257,742.012,757.71953,0.15289,0.47446,0.66084
7.47145,622.508,630.43425,0.3596,0.1848,0.83863
3.83653,791.516,854.97119,0.0811,0.03165,0.6562
7.20055,775.172,797.89042,0.13453,0.38632,0.61173
5.80969,547.716,559.23566,0.35922,0.28362,0.6153
8.26777,691.116,699.99357,0.30792,0.06066,0.88027
7.97437,518.26,557.95169,0.14213,0.07418,0.40318
4.35133,421.62,421.74305,0.04044,0.1604,0.00033
4.45429,713.188,729.12423,0.18746,0.31161,0.74375
4.70971,427.716,427.93093,0.30072,0.47456,0.00568
2.98477,628.404,647.46093,0.16762,0.26159,0.75076
7.22485,516.556,534.59083,0.04931,0.40802,0.10094
4.67965,529.26,541.14776,0.35356,0.30126,0.47107
9.25273,676.428,698.45712,0.1372,0.09394,0.84051
5.93677,653.724,673.85768,0.15086,0.18092,0.80804
2.86507,645.164,652.77751,0.29555,0.44875,0.7547
2.72989,522.836,539.68414,0.38461,0.04725,0.40413
9.22087,504.18,518.86511,0.35578,0.10284,0.31178
9.21385,723.636,745.47537,0.12041,0.30758,0.77105
6.23125,510.292,520.41235,0.13824,0.48805,0.16358
3.09745,472.716,475.55909,0.25014,0.03437,0.02739
2.61937,470.836,472.53549,0.17006,0.38486,0.0222
7.29109,445.26,445.94133,0.18254,0.36395,0.00894
6.75919,522.284,538.53795,0.2364,0.30342,0.38038
3.06073,702.324,732.53086,0.13129,0.00213,0.81387
7.50223,416.428,416.55164,0.2941,0.49437,0.00335
3.00709,634.492,641.48536,0.30316,0.47996,0.74997
1.63873,798.452,845.07698,0.07813,0.24478,0.37837
5.84029,738.86,757.33702,0.18931,0.15733,0.78881
2.42317,699.228,710.67304,0.24988,0.42592,0.65419
3.51091,468.668,470.30475,0.13005,0.40318,0.01756
1.58167,432.54,432.70926,0.0915,0.42868,0.00141
2.93707,680.308,755.00404,0.04405,0.13516,0.71338
4.95739,587.812,597.88012,0.29348,0.36754,0.71644
8.33563,615.3,628.39121,0.26152,0.13072,0.81485
1.96813,497.548,504.98981,0.19129,0.10507,0.06613
2.26225,557.676,567.97894,0.3196,0.41089,0.55274
9.20683,621.644,626.593,0.37573,0.47714,0.79813
8.24833,552.036,564.26288,0.32167,0.29236,0.6397
7.45003,627.228,634.62678,0.36292,0.21004,0.84137
4.25107,713.828,751.66035,0.05557,0.48538,0.54888
